variable,mean,sd,min,max,n
mean_speed,11.9854901640889,1.66999857377522,5.85167078866128,17.7473772947286,40461
mean_dist,2.81292507940791,0.284592257595284,1.39536683621622,5.35564451815879,40461
mean_duration,1105.50467791324,322.886052052985,443.333333333333,10658.6756756757,40461
n_trips,1808.31567352157,1078.90427966446,4,6893,40461
O3,18.8524894414362,11.6132665170753,0.04075,78.278203125,40341
NOx,44.7226106552536,35.9675368353469,1.38408260869565,509.240347826087,40341
PM25,13.5282025781592,10.3683827911499,-2.6,114.866666666667,40327
SO2,1.09814051183752,1.03065968620482,-0.2865234375,92.718984375,40180
