variable,mean,sd,min,max,n
mean_speed,12.302013210392,1.67415846401367,1.24437530111332,22.7177046948265,110331
mean_dist,2.97171022854492,0.33799632883594,0.955283725687701,11.5580097855919,110331
mean_duration,1114.00516696913,308.021138178383,247.415666666667,24468.881,110331
n_trips,1843.94870757605,1065.25810342271,1,6893,110331
O3,23.1328463711354,12.6838389557781,0.04075,99.773828125,110019
NOx,29.8896090327064,28.5577482326874,0.284659420289855,509.240347826087,110019
PM25,10.5559511902022,8.75983589734173,-2.65,151.625,109983
SO2,0.773279180942076,0.838797186796607,-0.68765625,92.718984375,107263
