variable,mean,sd,min,max,n
mean_speed,12.4717187165848,1.6515900009284,1.24437530111332,22.7177046948265,69870
mean_dist,3.05684372648423,0.333620101436423,0.955283725687701,11.5580097855919,69870
mean_duration,1118.56274915774,299.648526956826,247.415666666667,24468.881,69870
n_trips,1863.05354734058,1057.37475367117,1,6642,69870
O3,25.4279666438034,12.6386609142351,0.0679166666666667,99.773828125,69678
NOx,21.936178211969,19.4408900488408,0.284659420289855,270.190217391304,69678
PM25,8.96182934715545,7.27688663558676,-2.65,151.625,69656
SO2,0.593033416474133,0.643061708543265,-0.68765625,52.2427734375,67083
